"group_1","group_2","interaction_severity","possible_symptoms","interaction_risk"
"Anticoagulants","NSAIDs","High","easy bruising, black stools, nosebleeds, blood in urine","Major bleeding risk due to additive anticoagulation and GI mucosal injury"
"Anticoagulants","Antiplatelets","High","gum bleeding, prolonged bleeding, dizziness, weakness","Severe additive inhibition of clot formation"
"Anticoagulants","SSRIs","High","bruising, GI bleeding, fatigue","Platelet dysfunction from SSRIs increases bleeding risk"
"Anticoagulants","SNRIs","High","bruising, dark stools, weakness","Serotonergic platelet effects increase hemorrhage potential"
"Anticoagulants","Azole antifungals","High","bleeding, dizziness, hypotension","CYP inhibition can raise anticoagulant exposure"
"Anticoagulants","Macrolides","High","bleeding, lightheadedness","Metabolic inhibition can elevate anticoagulant levels"
"Anticoagulants","Fluoroquinolones","High","bleeding, dark stools, pallor","Potential INR/anticoagulant effect elevation"
"Antiplatelets","NSAIDs","High","abdominal pain, melena, hematemesis","Substantially increased GI bleeding risk"
"ACE inhibitors","Potassium-sparing diuretics","High","muscle weakness, palpitations, paresthesia","Hyperkalemia from reduced aldosterone and potassium retention"
"ARBs","Potassium-sparing diuretics","High","arrhythmia, weakness, nausea","Additive hyperkalemia risk"
"ACE inhibitors","ARBs","High","fainting, kidney dysfunction, high potassium symptoms","Dual RAAS blockade raises renal failure and hyperkalemia risk"
"ACE inhibitors","NSAIDs","High","reduced urine output, edema, fatigue","Acute kidney injury risk with hemodynamic nephrotoxicity"
"ARBs","NSAIDs","High","edema, rising creatinine symptoms, fatigue","Renal perfusion compromise and nephrotoxicity"
"Loop diuretics","ACE inhibitors","High","dizziness, syncope, dehydration","Marked first-dose hypotension and renal perfusion drop"
"Loop diuretics","ARBs","High","orthostatic dizziness, weakness","Additive blood pressure reduction and volume depletion"
"Nitrates and vasodilators","PDE5 inhibitors","High","severe hypotension, syncope, chest discomfort","Profound vasodilation can cause life-threatening hypotension"
"Beta blockers","Calcium channel blockers","High","bradycardia, dizziness, fainting","Additive AV nodal suppression and negative inotropy"
"Beta blockers","SABA bronchodilators","High","wheezing, shortness of breath, poor bronchodilator response","Pharmacologic antagonism may worsen bronchospasm"
"MAO inhibitors","SSRIs","High","agitation, fever, tremor, diarrhea","Serotonin syndrome risk"
"MAO inhibitors","SNRIs","High","confusion, hyperreflexia, diaphoresis","Severe serotonin toxicity risk"
"MAO inhibitors","Other antidepressants","High","hypertension, hyperthermia, rigidity","Serotonergic and catecholaminergic toxicity"
"SSRIs","Tricyclic antidepressants","High","confusion, tremor, arrhythmia","Elevated TCA levels and serotonin toxicity risk"
"SNRIs","Tricyclic antidepressants","High","tachycardia, agitation, tremor","Additive serotonergic and noradrenergic toxicity"
"SSRIs","Opioid analgesics","High","agitation, sweating, clonus, fever","Certain opioids increase serotonin syndrome risk"
"SNRIs","Opioid analgesics","High","restlessness, tremor, confusion","Serotonergic toxicity and CNS adverse effects"
"Benzodiazepines","Opioid analgesics","High","extreme drowsiness, slow breathing, cyanosis","Respiratory depression and overdose risk"
"Z-hypnotics","Opioid analgesics","High","sedation, hypoventilation, confusion","Severe CNS and respiratory depression"
"Benzodiazepines","First-generation antihistamines","High","sedation, falls, impaired coordination","Additive CNS depression"
"Atypical antipsychotics","Benzodiazepines","High","hypotension, sedation, respiratory suppression","CNS depression and hemodynamic instability"
"Typical antipsychotics","Macrolides","High","palpitations, syncope","QT prolongation and torsades risk"
"Atypical antipsychotics","Fluoroquinolones","High","dizziness, palpitations, fainting","Additive QT prolongation"
"Macrolides","Fluoroquinolones","High","palpitations, syncope","High arrhythmia risk from combined QT effects"
"Azole antifungals","Macrolides","High","fainting, fast heartbeat","Strong CYP and QT interaction burden"
"Statins","Macrolides","High","muscle pain, dark urine, weakness","Raised statin concentrations causing rhabdomyolysis risk"
"Statins","Azole antifungals","High","myalgia, elevated CK symptoms, dark urine","CYP inhibition increases statin toxicity"
"Statins","HIV protease inhibitors","High","severe muscle pain, weakness, kidney injury symptoms","Major pharmacokinetic interaction with statin accumulation"
"HIV protease inhibitors","Inhaled corticosteroids","High","weight gain, moon face, hyperglycemia","CYP3A4 inhibition can cause iatrogenic Cushing syndrome"
"HIV protease inhibitors","Benzodiazepines","High","profound sedation, respiratory depression","Increased benzodiazepine exposure from CYP inhibition"
